0.274 aa - s 0 0 - f 0 0 single 1 0 0 1 4 0 0 1 0 
0.175 aa - n 0 0 - r 0 0 single 0 1 0 1 1 1 0 1 0 
0.172 aa - l 0 0 - s 0 0 single 1 0 0 0 1 1 0 1 1 
0.138 aa - n 0 0 - f 0 0 single 1 0 0 1 1 1 0 1 0 
0.122 aa - n 0 0 - f 0 0 initial 1 0 0 1 0 0 0 1 0 
0.177 aa - f 0 0 - n 0 0 initial 1 0 0 1 0 0 0 1 0 
0.251 aa - s 0 0 - s 0 0 single 1 0 0 1 1 1 0 1 0 
0.151 aa - l 0 0 - a 0 0 initial 1 0 1 1 0 1 0 1 0 
0.186 aa - s 0 0 - s 0 0 initial 0 1 0 1 0 1 0 1 0 
0.082 aa - s 0 0 - s 0 0 initial 1 0 0 1 0 0 1 1 1 
0.175 aa - s 0 0 - s 0 0 single 1 0 0 0 1 1 0 1 1 
0.207 aa - s 0 0 - f 0 0 initial 0 1 0 1 0 1 0 1 0 
0.131 aa - f 0 0 - s 0 0 initial 1 0 0 0 0 0 0 1 0 
0.0879999 aa - s 0 0 - r 0 0 final 1 0 1 0 1 1 0 0 1 
0.178 aa - f 0 0 - n 0 0 single 1 0 0 1 1 1 1 1 0 
0.072 aa - f 0 0 - l 0 0 single 1 0 0 0 1 1 0 1 1 
0.242 aa - s 0 0 - r 0 0 single 1 0 0 1 4 0 0 1 0 
0.135 aa - s 0 0 - f 0 0 single 1 0 0 1 1 1 1 1 0 
0.168 aa - a 0 0 - l 0 0 single 1 0 0 1 1 0 0 1 1 
0.161 aa - n 0 0 + 0 l 1 mid 2 0 0 0 0 1 1 1 0 
0.18 aa - s 0 0 - s 0 0 initial 1 0 0 1 0 1 1 1 0 
0.18 aa - s 0 0 - s 0 0 mid 0 1 1 0 0 4 1 1 0 
0.159 aa - n 0 0 + 0 l 1 initial 0 1 0 1 0 4 0 1 0 
0.149 aa - s 0 0 - r 0 0 mid 0 1 0 0 0 4 0 0 0 
0.153 aa - s 0 0 - s 0 0 final 0 1 0 0 1 0 0 0 1 
0.101 aa - f 0 0 - l 0 0 initial 2 0 0 1 0 1 1 1 0 
0.147 aa - f 0 0 - s 0 0 single 1 0 0 1 1 0 1 1 1 
0.165 aa - s 0 0 - s 0 0 initial 1 0 0 1 0 1 0 1 0 
0.177 aa - a 0 0 - s 0 0 mid 0 1 0 0 0 1 1 1 0 
0.246 aa - f 0 0 - s 0 0 single 1 0 0 1 4 0 0 1 0 
0.149 aa - s 0 0 - s 0 0 initial 1 0 0 1 0 1 0 1 1 
0.127 aa - f 0 0 - l 0 0 single 2 0 0 0 1 1 0 1 0 
0.167 aa - a 0 0 - l 0 0 single 1 0 0 1 1 4 0 1 1 
0.101 aa - f 0 0 - s 0 0 mid 1 0 0 0 0 1 1 0 0 
0.121 aa - s 0 0 - 0 0 0 initial 0 1 0 0 0 0 0 1 0 
0.14 aa - n 0 0 - l 0 0 single 2 0 0 1 4 0 0 1 0 
0.129 aa - s 0 0 - s 0 0 initial 1 0 0 1 0 0 0 1 1 
0.149 aa - s 0 0 - f 0 0 mid 0 1 0 0 0 3 1 0 0 
0.167 aa - s 0 0 - n 0 0 initial 0 1 0 1 0 1 1 1 0 
0.0929999 aa - f 0 0 + 0 l 1 initial 0 1 0 1 0 1 0 1 0 
0.212 aa - f 0 0 - s 0 0 final 1 0 0 0 4 0 1 0 0 
0.151 aa - r 0 0 - f 0 0 mid 0 1 0 0 0 4 1 1 0 
0.115 aa - f 0 0 + 0 l 3 initial 0 1 0 1 0 1 0 1 0 
0.159 aa - f 0 0 - r 0 0 single 2 0 0 1 1 1 0 1 0 
0.213 aa - s 0 0 - f 0 0 single 1 0 0 1 1 1 0 1 1 
0.154 aa - s 0 0 - s 0 0 single 1 0 0 1 1 0 1 1 1 
0.155 aa - n 0 0 - f 0 0 mid 1 0 0 0 0 4 0 1 1 
0.154 aa - r 0 0 - 0 0 0 single 0 1 1 0 1 1 0 0 0 
0.168 aa - n 0 0 - f 0 0 mid 1 0 0 0 0 4 0 1 1 
0.191 aa - f 0 0 - s 0 0 initial 1 0 1 1 0 1 0 1 0 
0.152 aa - f 0 0 + 0 d 2 initial 0 1 0 1 0 1 0 1 0 
0.206 aa - n 0 0 - f 0 0 initial 1 0 0 1 0 1 0 1 0 
0.207 aa - n 0 0 + 0 d 3 initial 0 1 0 1 0 1 1 1 0 
0.239 aa - a 0 0 - f 0 0 final 0 1 0 0 4 0 1 0 0 
0.277 aa - f 0 0 - f 0 0 final 0 1 0 0 1 1 1 1 1 
0.293 aa - f 0 0 - r 0 0 final 0 1 0 0 4 0 1 0 0 
